Resolution,ICR
22048.190244516212, 125.26856483262793
27183.030658893607, 125.26856483262793
32317.871073270973, 125.26856483262793
37452.71148764837, 125.26856483262793
42587.55190202576, 125.26856483262793
47722.39231640313, 125.26856483262793
52857.232730780524, 125.26856483262793
57992.07314515792, 125.26856483262793
63126.913559535285, 125.26856483262793
68261.75397391268, 125.26856483262793
73396.59438829008, 125.26856483262793
78531.43480266744, 125.26856483262793
83666.27521704484, 125.26856483262793
88801.11563142223, 125.26856483262793
93935.9560457996, 125.26856483262793
99070.79646017699, 125.26856483262793
104205.63687455439, 125.26856483262793
109340.47728893178, 125.26856483262793
114475.31770330915, 125.26856483262793
119610.15811768654, 125.26856483262793
124744.99853206394, 125.26856483262793
129879.83894644133, 125.26856483262793
135014.67936081867, 125.26856483262793
140149.51977519607, 125.26856483262793
145284.36018957346, 125.26856483262793
150419.20060395086, 125.26856483262793
155554.04101832825, 125.19719122739517
160688.88143270565, 125.19719122739517
165823.72184708304, 125.19719122739517
170958.56226146038, 125.19719122739517
176093.40267583777, 125.19719122739517
181228.24309021517, 125.19719122739517
186363.08350459256, 125.19719122739517
191497.92391896996, 125.19719122739517
196632.76433334735, 125.19719122739517
201767.6047477247, 125.19719122739517
206902.44516210209, 125.19719122739517
212037.28557647948, 125.19719122739517
217172.12599085688, 125.19719122739517
222306.96640523427, 125.19719122739517
227441.80681961167, 125.19719122739517
232576.64723398906, 125.19719122739517
237711.4876483664, 125.12581762216237
242846.3280627438, 125.12581762216237
247981.1684771212, 125.12581762216237
253116.00889149858, 125.12581762216237
258250.84930587598, 125.12581762216237
263385.68972025334, 125.09013081954598
268520.53013463074, 125.0544440169296
273655.37054900813, 125.0544440169296
278790.2109633855, 125.0544440169296
283925.0513777629, 125.0544440169296
289059.8917921403, 125.09013081954598
294194.7322065177, 125.0544440169296
299329.572620895, 125.0544440169296
304464.4130352724, 125.0544440169296
309599.2534496498, 125.0544440169296
314734.0938640272, 125.0544440169296
319868.9342784046, 125.0544440169296
325003.77469278197, 125.0187572143132
330138.61510715936, 125.0544440169296
335273.45552153676, 125.0544440169296
340408.29593591415, 125.0544440169296
345543.13635029155, 125.0544440169296
350677.97676466894, 124.98307041169681
355812.81717904634, 124.98307041169681
360947.65759342373, 124.98307041169681
366082.498007801, 124.98307041169681
371217.3384221784, 124.98307041169681
376352.1788365558, 124.98307041169681
381487.0192509332, 124.98307041169681
386621.8596653106, 124.98307041169681
391756.700079688, 124.98307041169681
396891.5404940654, 125.0187572143132
402026.3809084428, 125.0544440169296
407161.2213228202, 125.0544440169296
412296.06173719757, 125.0187572143132
417430.90215157485, 125.0544440169296
422565.74256595224, 125.0544440169296
427700.58298032964, 125.0544440169296
432835.42339470703, 125.0544440169296
437970.2638090844, 125.0544440169296
443105.1042234618, 125.0544440169296
448239.9446378392, 125.09013081954598
453374.7850522166, 125.12581762216237
458509.625466594, 125.12581762216237
463644.4658809714, 125.19719122739517
468779.3062953488, 125.19719122739517
473914.1467097262, 125.19719122739517
479048.9871241036, 125.19719122739517
484183.82753848087, 125.19719122739517
489318.66795285826, 125.19719122739517
494453.50836723566, 125.19719122739517
499588.34878161305, 125.23287803001155
504723.18919599045, 125.26856483262793
509858.02961036784, 125.26856483262793
514992.87002474524, 125.26856483262793
520127.71043912263, 125.26856483262793
525262.5508535, 125.26856483262793
530397.3912678774, 125.26856483262793
535532.2316822548, 125.26856483262793
540667.0720966322, 125.26856483262793
545801.9125110095, 125.26856483262793
550936.7529253869, 125.26856483262793
556071.5933397643, 125.26856483262793
561206.4337541417, 125.26856483262793
566341.2741685191, 125.26856483262793
571476.1145828965, 125.26856483262793
576610.9549972739, 125.26856483262793
581745.7954116513, 125.26856483262793
586880.6358260287, 125.30425163524433
592015.476240406, 125.33993843786072
597150.3166547834, 125.33993843786072
602285.1570691608, 125.30425163524433
607419.9974835382, 125.33993843786072
612554.8378979155, 125.33993843786072
617689.6783122929, 125.33993843786072
622824.5187266703, 125.33993843786072
627959.3591410477, 125.33993843786072
633094.1995554251, 125.33993843786072
638229.0399698025, 125.33993843786072
642080.1702805855, 125.33993843786072
